job_card_date,BAJAJ_PULSAR_150_CHAIN_LUBRICANT_Weekly_Count
2017-06-04,6
2017-06-11,12
2017-06-18,15
2017-06-25,13
2017-07-02,11
2017-07-09,13
2017-07-16,11
2017-07-23,10
2017-07-30,11
2017-08-06,8
2017-08-13,12
2017-08-20,8
2017-08-27,5
2017-09-03,7
2017-09-10,11
2017-09-17,9
2017-09-24,16
2017-10-01,13
2017-10-08,15
2017-10-15,9
2017-10-22,9
2017-10-29,0
2017-11-05,12
2017-11-12,21
2017-11-19,13
2017-11-26,12
2017-12-03,13
2017-12-10,9
2017-12-17,7
2017-12-24,12
2017-12-31,14
2018-01-07,9
2018-01-14,9
2018-01-21,13
2018-01-28,7
2018-02-04,10
2018-02-11,12
2018-02-18,10
2018-02-25,12
2018-03-04,12
2018-03-11,11
2018-03-18,9
2018-03-25,7
2018-04-01,15
2018-04-08,16
2018-04-15,11
2018-04-22,15
2018-04-29,16
2018-05-06,8
2018-05-13,14
2018-05-20,11
2018-05-27,5
2018-06-03,15
2018-06-10,14
2018-06-17,5
2018-06-24,18
2018-07-01,10
2018-07-08,18
2018-07-15,4
2018-07-22,14
2018-07-29,7
2018-08-05,10
2018-08-12,10
2018-08-19,12
2018-08-26,10
2018-09-02,8
2018-09-09,9
2018-09-16,16
2018-09-23,17
2018-09-30,16
2018-10-07,17
2018-10-14,13
2018-10-21,10
2018-10-28,9
2018-11-04,17
2018-11-11,5
2018-11-18,16
2018-11-25,9
2018-12-02,12
2018-12-09,14
2018-12-16,12
2018-12-23,13
2018-12-30,19
2019-01-06,14
