job_card_date,BAJAJ_PULSAR_150_ENGINE_OIL_Weekly_Count
2017-06-04,6
2017-06-11,13
2017-06-18,14
2017-06-25,13
2017-07-02,11
2017-07-09,14
2017-07-16,12
2017-07-23,10
2017-07-30,13
2017-08-06,8
2017-08-13,10
2017-08-20,7
2017-08-27,7
2017-09-03,8
2017-09-10,12
2017-09-17,10
2017-09-24,19
2017-10-01,12
2017-10-08,17
2017-10-15,12
2017-10-22,10
2017-10-29,0
2017-11-05,12
2017-11-12,23
2017-11-19,14
2017-11-26,12
2017-12-03,13
2017-12-10,9
2017-12-17,9
2017-12-24,12
2017-12-31,15
2018-01-07,10
2018-01-14,10
2018-01-21,13
2018-01-28,7
2018-02-04,10
2018-02-11,13
2018-02-18,12
2018-02-25,14
2018-03-04,12
2018-03-11,13
2018-03-18,10
2018-03-25,8
2018-04-01,15
2018-04-08,16
2018-04-15,12
2018-04-22,18
2018-04-29,16
2018-05-06,9
2018-05-13,20
2018-05-20,13
2018-05-27,6
2018-06-03,16
2018-06-10,14
2018-06-17,7
2018-06-24,18
2018-07-01,13
2018-07-08,20
2018-07-15,5
2018-07-22,16
2018-07-29,8
2018-08-05,10
2018-08-12,13
2018-08-19,12
2018-08-26,13
2018-09-02,9
2018-09-09,11
2018-09-16,17
2018-09-23,20
2018-09-30,17
2018-10-07,21
2018-10-14,18
2018-10-21,12
2018-10-28,14
2018-11-04,17
2018-11-11,6
2018-11-18,16
2018-11-25,11
2018-12-02,13
2018-12-09,15
2018-12-16,12
2018-12-23,15
2018-12-30,21
2019-01-06,15
