job_card_date,BAJAJ_PULSAR_150_DISC_OIL_Weekly_Count
2017-06-04,2
2017-06-11,8
2017-06-18,8
2017-06-25,6
2017-07-02,6
2017-07-09,1
2017-07-16,8
2017-07-23,5
2017-07-30,1
2017-08-06,3
2017-08-13,1
2017-08-20,2
2017-08-27,0
2017-09-03,2
2017-09-10,6
2017-09-17,3
2017-09-24,7
2017-10-01,0
2017-10-08,3
2017-10-15,2
2017-10-22,2
2017-10-29,0
2017-11-05,1
2017-11-12,4
2017-11-19,4
2017-11-26,2
2017-12-03,0
2017-12-10,1
2017-12-17,0
2017-12-24,4
2017-12-31,4
2018-01-07,0
2018-01-14,1
2018-01-21,2
2018-01-28,3
2018-02-04,1
2018-02-11,1
2018-02-18,3
2018-02-25,3
2018-03-04,1
2018-03-11,4
2018-03-18,5
2018-03-25,0
2018-04-01,5
2018-04-08,5
2018-04-15,4
2018-04-22,6
2018-04-29,10
2018-05-06,3
2018-05-13,8
2018-05-20,2
2018-05-27,1
2018-06-03,5
2018-06-10,2
2018-06-17,4
2018-06-24,4
2018-07-01,5
2018-07-08,1
2018-07-15,2
2018-07-22,3
2018-07-29,1
2018-08-05,3
2018-08-12,4
2018-08-19,0
2018-08-26,5
2018-09-02,5
2018-09-09,6
2018-09-16,7
2018-09-23,11
2018-09-30,11
2018-10-07,10
2018-10-14,7
2018-10-21,5
2018-10-28,7
2018-11-04,5
2018-11-11,1
2018-11-18,3
2018-11-25,2
2018-12-02,6
2018-12-09,5
2018-12-16,4
2018-12-23,10
2018-12-30,6
2019-01-06,6
